"Table 204.10. Number and percentage of public school students eligible for free or reduced-price lunch, by state: Selected school years, 2000-01 through 2022-23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Number of students enrolled,,,,,,,Number of students eligible for free or reduced-price lunch,,,,,,,,,,,Percent of students eligible for free or reduced-price lunch,,,,,,,,,,
,2000-01,,2012-13,2019-20,2020-21,2021-22,2022-23,2000-01,,2012-13,2019-20,,2020-21,,2021-22,,2022-23,,2000-01,,2012-13,2019-20,,2020-21,,2021-22,,2022-23,
West Virginia ,"286,285",,"283,044","263,475","253,901","252,561","250,692","143,446",,"148,493","134,897",,"124,777",,"125,724",\3\,"129,179",\3\,50.1,,52.5,51.2,,49.1,,49.8,\3\,51.5 ,\3\
Wisconsin ,"859,276",,"871,376","853,696","829,041","822,492","820,326","219,276",,"360,803","339,283",,"354,471",,"324,879",,"332,197",,25.5,,41.4,39.7,,42.8,,39.5,,40.5 ,
Wyoming ,"89,895",,"91,533","94,481","92,666","92,746","92,285","43,483",,"34,617","32,731",,"30,785",,"26,213",,"31,862",,48.4,,37.8,34.6,,33.2,,28.3,,34.5 ,
---Not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
†Not applicable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1\U.S. total includes imputation for nonreporting states.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2\Imputation for survey nonresponse. State-level imputations for 2000-01 were based on the reported percentages for 2001-02 applied to the 2000-01 enrollments. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\3\This state reported only the count of students who were eligible based on direct certification. Direct certification is the process by which children are certified for free meals based on household participation in one or more means-tested federal assistance programs--such as the Supplemental Nutrition Assistance Program (SNAP)--without the need for a household application.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\4\Imputation for survey nonresponse. State-level imputations for 2019-20 were based on the reported percentages for 2015-16 (the most recent year for which percentages were reported) applied to the 2019-20 enrollments. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: The National School Lunch Program (NSLP) is a federally assisted meal program. To be eligible for free lunch under the program, a student must be from a household with an income at or below 130 percent of the poverty threshold; to be eligible for reduced-price lunch, a student must be from a household with an income between 130 percent and 185 percent of the poverty threshold. Table reflects counts of students enrolled in all schools for which both enrollment data and free/reduced-price lunch eligibility data were reported. For 2019-20 through 2022-23, students reported as eligible for free or reduced-price lunch (FRPL) also include students whose NSLP eligibility has been determined through direct certification. The FRPL counts show large shifts in the last several years in some states. These changes were due to (1) the Seamless Summer Option, which allowed schools to provide meals to all students, regardless of demonstrated need, beginning October 1, 2020, and (2) the shift away from in-person instruction (particularly for school year 2020-21 due to the coronavirus pandemic), which may have caused a decrease in the number of students applying for FRPL because they were not present to apply for it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Common Core of Data (CCD), ""Public Elementary/Secondary School Universe Survey,"" 2000-01, 2012-13, and 2019-20 through 2022-23. (This table was prepared January 2024.)    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
